Значения перечисления ХозяйственныеОперации
==========================================

АвансовыйОтчет | Авансовый отчет
УвеличениеАмортизацииЦФОСНаНачалоГода | Увеличение амортизации ЦФ ОС (на начало года)
УвеличениеНДСПоАренде | Увеличение НДС по аренде
УвеличениеПроцентовПоАренде | Увеличение процентов по аренде
УвеличениеСтоимостиАрендованныхОС | Увеличение стоимости арендованных ОС
УвеличениеСтоимостиНМА | Увеличение стоимости НМА
УвеличениеСтоимостиНМАЗаСчетУценки | Увеличение стоимости НМА за счет уценки
УвеличениеСтоимостиОС | Увеличение стоимости ОС
УвеличениеСтоимостиОСЗаСчетУценки | Увеличение стоимости ОС за счет уценки
УдалитьОплатаСамозанятому | (не используется) оплата самозанятому
УдержаниеВознагражденияКомиссионера | Удержание вознаграждения комиссионера
УдержаниеВознагражденияКомитентом | Удержание вознаграждения комитентом
УдержаниеИзЗарплатыВСчетРеализацииСотруднику | Удержание из зарплаты в счет реализации сотруднику
УдержаниеИзЗарплатыСотрудника | Удержание из зарплаты сотрудника
УдержаниеНеизрасходованныхПодотчетныхСумм | Удержание неизрасходованных подотчетных сумм
УлучшениеНМА | Улучшение НМА
УменьшениеАмортизацииНМА | Уменьшение амортизации НМА
УменьшениеАмортизацииНМАЗаСчетДооценки | Уменьшение амортизации НМА за счет дооценки
УменьшениеАмортизацииНМАНаНачалоГода | Уменьшение амортизации НМА (на начало года)
УменьшениеАмортизацииНМАСальдовыйМетод | Уменьшение амортизации НМА (сальдовый метод)
УменьшениеАмортизацииОС | Уменьшение амортизации ОС
УменьшениеАмортизацииОСЗаСчетДооценки | Уменьшение амортизации ОС за счет дооценки
УменьшениеАмортизацииОСНаНачалоГода | Уменьшение амортизации ОС (на начало года)
УменьшениеАмортизацииОССальдовыйМетод | Уменьшение амортизации ОС (сальдовый метод)
УменьшениеАмортизационнойПремии | Уменьшение амортизационной премии
УменьшениеНДСПоАренде | Уменьшение НДС по аренде
УменьшениеПроцентовПоАренде | Уменьшение процентов по аренде
УменьшениеСтоимостиАрендованныхОС | Уменьшение стоимости арендованных ОС
УменьшениеСтоимостиНМА | Уменьшение стоимости НМА
УменьшениеСтоимостиНМАЗаСчетДооценки | Уменьшение стоимости НМА за счет дооценки
УменьшениеСтоимостиОС | Уменьшение стоимости ОС
УменьшениеСтоимостиОСЗаСчетДооценки | Уменьшение стоимости ОС за счет дооценки
УменьшениеСтоимостиЦФНМА | Уменьшение стоимости ЦФ НМА
УменьшениеСтоимостиЦФОС | Уменьшение стоимости ЦФ ОС
УстановкаЗначенийНаработки | Установка значений наработки
ФормированиеРасходовНДДПоАмортизируемомуИмуществу | Формирование расходов НДД (амортизируемое имущество)
ФормированиеСтоимостиАрендованныхОС | Формирование стоимости арендованных ОС
ШтрафыПриВозвратеБронирования | Штрафы при возврате бронирования
ШтрафыПриВозвратеБронированияПодотчетногоЛица | Штрафы при возврате бронирования подотчетного лица
