Значения перечисления ХозяйственныеОперации
==========================================

АвансовыйОтчет | Авансовый отчет
ВозвратМатериаловИзПроизводства | Возврат материалов из производства
ВозвратНалогов | Возврат налогов
ВозвратНедопоставленногоТовара | Возврат недопоставленного товара
ВозвратНеперечисленнойЗарплатыПоЗарплатномуПроекту | Возврат неперечисленных по реестру платежей
ВозвратНеперечисленныхДС | Возврат зарплаты неперечисленной на лицевой счет
ВозвратОбеспечительногоПлатежа | Возврат обеспечительного платежа
ВозвратОплатыКлиенту | Возврат или иная оплата клиенту
ВозвратОплатыКлиентуНаПлатежнуюКарту | Возврат оплаты клиенту на платежную карту
ВозвратОплатыКомиссионеру | Возврат оплаты комиссионеру
ВозвратОплатыНаПлатежнуюКарту | Возврат оплаты по эквайрингу
ВозвратОСИзАренды | Возврат ОС из аренды
ВозвратОтКомиссионера | Возврат от комиссионера
ВозвратОтПереработчика | Возврат от переработчика (2.4)
ВозвратОтПереработчика2_5 | Возврат от переработчика
ВозвратОтРозничногоПокупателя | Возврат от розничного покупателя
ВозвратОтХранителя | Возврат от хранителя
ВозвратПодарочныхСертификатов | Возврат подарочных сертификатов
ВозвратПоКомиссииМеждуОрганизациями | Возврат по комиссии между организациями
ВозвратТарыОтКлиентаПрошлыхПериодов | Возврат тары от клиента прошлых периодов
ВозвратТоваровКомитенту | Возврат товаров комитенту
ВозвратТоваровМеждуОрганизациями | Возврат товаров между организациями
ВозвратТоваровОтКлиента | Возврат товаров от клиента
ВозвратТоваровОтКлиентаПрошлыхПериодов | Возврат товаров от клиента прошлых периодов
ВозвратТоваровПоставщику | Возврат товаров поставщику
ВозвратТоваровЧерезКомиссионера | Возврат товаров через комиссионера
ВозвратТоваровЧерезКомиссионераПрошлыхПериодов | Возврат товаров через комиссионера прошлых периодов
ВосстановлениеАвансаКлиента | Восстановление аванса клиента
ВосстановлениеАвансаПоставщику | Восстановление аванса поставщику
ВосстановлениеАмортизационнойПремии | Восстановление амортизационной премии
ВосстановлениеДолгаКлиента | Восстановление долга клиента
ВосстановлениеДолгаПоставщику | Восстановление долга поставщику
ВосстановлениеНДС | Восстановление НДС
ВосстановлениеНДССВыданногоАванса | Восстановление НДС с выданного аванса
ВосстановлениеОбесцененияНМА | Восстановление обесценения НМА
ВосстановлениеОбесцененияОС | Восстановление обесценения ОС
ВосстановлениеПризнанныхРасходовНДД | Восстановление признанных расходов
ВосстановлениеРезервовПодОбесценениеЗапасов | Восстановление резервов под обесценение запасов
ВосстановлениеРезервовПоСомнительнымДолгам | Восстановление резервов по сомнительным долгам
ВосстановлениеУбыткаОтОбесценения | Восстановление убытка от обесценения
ВходящийНДСПоПриобретению | Входящий НДС по приобретению
ВыбытиеАрендованныхОС | Выбытие арендованных ОС (забалансовый учет)
ВыбытиеРНПТМатериаловИзПроизводства | Выбытие РНПТ материалов из производства
ВыдачаДенежныхДокументовПодотчетнику | Выдача денежных документов подотчетному лицу
ВыдачаДенежныхСредствВДругуюКассу | Выдача ДС в другую кассу
ВыдачаДенежныхСредствВКассуККМ | Выдача ДС в кассу ККМ
ВыдачаДенежныхСредствПодотчетнику | Выдача ДС подотчетнику
ВыдачаЗаймаСотруднику | Выдача займа сотруднику
ВыдачаЗаймов | Выдача займа контрагенту
ВыделениеАмортизацииОСПриРазукомплектации | Выделение амортизации ОС при разукомплектации
ВыделениеНГЛС | Выделение НГЛС
ВыделениеСтоимостиОСПриРазукомплектации | Выделение стоимости ОС при разукомплектации
ВыделениеУзловКомпонентовАмортизации | Выделение узлов и компонентов амортизации
ВыемкаДенежныхСредствИзКассыККМ | Выемка ДС из кассы ККМ
ВыкупАрендованныхОС | Выкуп арендованных ОС
ВыкупВозвратнойТарыКлиентом | Выкуп возвратной тары клиентом
ВыкупПринятыхНаХранениеТоваров | Выкуп товаров с хранения
ВыкупТоваровДавальца | Выкуп товаров давальца
ВыкупТоваровПереданныхВПроизводство | Выкуп товаров, переданных в производство
ВыкупТоваровПереданныхНаХранение | Выкуп товаров, переданных на хранение
ВыкупТоваровПереработчиком | Выкуп товаров переработчиком
ВыкупТоваровХранителем | Выкуп товаров хранителем
ВыплатаЗарплаты | Выплата по ведомости
ВыплатаЗарплатыНаЛицевыеСчета | Выплата по ведомости на лицевые счета
ВыплатаЗарплатыПоЗарплатномуПроекту | Выплата по ведомости по зарплатному проекту
ВыплатаЗарплатыРаботнику | Выплата по ведомости работнику
ВыплатаЗарплатыРаздатчиком | Выплата по ведомости раздатчиком
ВыплатаЗарплатыЧерезКассу | Выплата по ведомости через кассу
ВыпускПродукции | Выпуск продукции
ВыпускПродукцииВПодразделение | Выпуск продукции в подразделение
ВыпускПродукцииМатериальные | Выпуск продукции (материальные)
ВыпускПродукцииНаСклад | Выпуск продукции на склад
ВыпускПродукцииОтклонения | Выпуск продукции (отклонения)
ВыпускПродукцииПостатейные | Выпуск продукции (постатейные)
ВыпускПродукцииТрудозатраты | Выпуск продукции (трудозатраты)
ВыпускПродукцииФиксированнаяСтоимость | Выпуск продукции (фикс. стоимость)
ВыработкаНМА | Выработка НМА
ВычетНДССВыданногоАванса | Вычет НДС с выданного аванса
ВычетНДССПолученногоАванса | Вычет НДС с полученного аванса
ДвижениеАктивовПассивовЗаСчетАктивовПассивов | Движение активов/пассивов за счет активов/пассивов
ДвижениеДоходовЗаСчетАктивовПассивов | Движение доходов за счет активов/пассивов
ДвижениеДоходовЗаСчетРасходов | Движение доходов за счет расходов
ДвижениеРасходовЗаСчетАктивовПассивов | Движение расходов за счет активов/пассивов
ДвижениеРасходовЗаСчетДоходов | Движение расходов за счет доходов
ДепонированиеЗарплаты | Депонирование зарплаты
ДоначислениеЗемельногоНалога | Доначисление земельного налога
ДоначислениеНалогаНаИмущество | Доначисление налога на имущество
ДоначислениеТранспортногоНалога | Доначисление транспортного налога
ДополнительныеРасходыБезПартии | Дополнительные расходы без указания документа партии
ДополнительныеРасходыСПартией | Дополнительные расходы с указанием документа партии
ДосрочноеПрекращениеДоговораАренды | Досрочное прекращение договора аренды
ДосрочныйВыкупАрендованныхОС | Досрочный выкуп арендованных ОС
ДоходыОтПереоценкиТоваров | Доходы от переоценки товаров
ДоходыПоОтчетуКомиссионераОСписании | Доходы по отчету комиссионера о списании
ЗавершениеЭтаповИсследованийИРазработок | Завершение этапов исследований и разработок
ЗаключениеДоговораАренды | Заключение договора аренды
ЗакрытиеМесяца | Закрытие месяца
ЗакрытиеРасходовОтРеализацииОС | Закрытие расходов от реализации ОС
